,area,bathroom,bedroom,business,condominium,garage,neighborhood,price,property,suite
0,200.0,5,4,venda,0,5,Tirol,1180000.0,casa,4
0,144.0,4,3,venda,400.0,2,Neópolis,370000.0,casa,3
0,300.0,3,3,venda,0,2,Tirol,980000.0,casa,1
0,87.0,1,2,venda,0,1,Planalto,130000.0,casa,2
0,411.0,6,6,venda,não informado,5,Tirol,1180000.0,casa,4
0,,1,2,venda,0,1,Planalto,140000.0,casa,1
0,360.0,3,3,venda,não informado,2,Candelária,400000.0,casa,1
0,114.0,2,2,venda,0,1,Alecrim,250000.0,casa,1
0,260.0,4,3,venda,não informado,3,Candelária,375000.0,casa,3
0,450.0,5,4,venda,não informado,20,Capim Macio,1200000.0,casa,2
0,188.0,2,5,venda,não informado,3,Potengi,300000.0,casa,1
0,216.0,5,4,venda,0,2,Capim Macio,495000.0,casa,4
0,275.0,4,5,venda,0,4,Potengi,700000.0,casa,3
0,110.0,3,5,venda,não informado,1,Morro Branco,190000.0,casa,2
0,280.0,3,4,venda,0,3,Alecrim,420000.0,casa,1
0,167.0,2,3,venda,não informado,4,Capim Macio,550000.0,casa,1
0,230.0,3,3,venda,não informado,3,Pitimbu,300000.0,casa,3
0,721.0,2,3,venda,0,5,Ponta Negra,480000.0,casa,1
0,270.0,1,4,venda,não informado,7,Candelária,620000.0,casa,1
0,259.0,5,3,venda,não informado,4,Candelária,580000.0,casa,4
0,545.0,1,4,venda,não informado,0,Ribeira,420000.0,casa,0
0,300.0,4,4,venda,0,5,Tirol,750000.0,casa,2
0,178.0,3,3,venda,não informado,2,Candelária,600000.0,casa,1
0,74.0,3,2,venda,0,2,Ponta Negra,150000.0,casa,2
0,112.0,0,3,venda,não informado,1,Igapó,130000.0,casa,0
0,229.0,2,4,venda,0,2,Candelária,350000.0,casa,1
0,400.0,6,5,venda,620.0,4,Candelária,1700000.0,casa,4
0,500.0,3,4,venda,0,6,Lagoa Nova,750000.0,casa,3
0,175.0,3,5,venda,0,2,Cidade da Esperança,240000.0,casa,2
0,290.0,2,4,venda,não informado,4,Barro Vermelho,500000.0,casa,1
0,180.0,2,3,venda,0,4,Neópolis,270000.0,casa,1
0,430.0,4,5,venda,0,4,Capim Macio,850000.0,casa,3
0,179.0,3,3,venda,0,2,Candelária,330000.0,casa,1
0,320.0,6,4,venda,0,4,Capim Macio,900000.0,casa,2
0,198.0,1,3,venda,não informado,4,Capim Macio,860000.0,casa,3
0,295.0,4,4,venda,0,2,Praia do Meio,900000.0,casa,3
0,300.0,4,5,venda,0,1,Barro Vermelho,300000.0,casa,2
0,160.0,3,3,venda,não informado,4,Nossa Senhora de Nazaré,460000.0,casa,2
0,287.0,3,4,venda,não informado,4,Ponta Negra,700000.0,casa,2
0,140.0,1,3,venda,0,2,Neópolis,230000.0,casa,0
0,314.0,5,5,venda,não informado,2,Neópolis,420000.0,casa,2
0,181.0,1,3,venda,não informado,2,Potengi,220000.0,casa,2
0,160.0,1,3,venda,0,8,Capim Macio,395000.0,casa,1
0,211.0,2,3,venda,não informado,1,Ribeira,230000.0,casa,1
0,240.0,2,3,venda,não informado,4,Ponta Negra,750000.0,casa,2
0,61.0,2,3,venda,0,1,Planalto,169000.0,casa,0
0,226.0,4,3,venda,0,4,Lagoa Nova,800000.0,casa,2
0,,1,0,venda,0,0,Felipe Camarão,45000.0,casa,1
0,68.0,2,2,venda,0,2,Planalto,150000.0,casa,1
0,380.0,6,4,venda,não informado,3,Candelária,550000.0,casa,3
0,600.0,4,5,venda,0,11,Ponta Negra,780000.0,casa,2
0,180.0,1,3,venda,600.0,2,Neópolis,380000.0,casa,2
0,178.0,3,4,venda,0,4,Neópolis,340000.0,casa,1
0,180.0,2,3,venda,não informado,3,Lagoa Nova,420000.0,casa,1
0,187.0,3,3,venda,não informado,5,Ponta Negra,350000.0,casa,1
0,260.0,6,4,venda,não informado,2,Capim Macio,600000.0,casa,4
0,120.0,1,4,venda,0,1,Quintas,165000.0,casa,1
0,263.0,0,4,venda,0,4,Capim Macio,550000.0,casa,4
0,855.0,2,3,venda,0,2,Lagoa Seca,1500000.0,casa,2
0,150.0,4,3,venda,não informado,2,Redinha,130000.0,casa,2
0,514.0,5,4,venda,não informado,10,Ponta Negra,2299000.0,casa,0
0,406.0,1,3,venda,0,4,Cidade Alta,430000.0,casa,0
0,283.0,3,3,venda,0,4,Redinha,230000.0,casa,1
0,,4,4,venda,0,0,Ponta Negra,1500000.0,casa,3
0,,1,3,venda,0,2,Nossa Senhora da Apresentação,135000.0,casa,1
0,400.0,5,4,venda,0,2,Ponta Negra,1850000.0,casa,4
0,117.0,2,3,venda,0,1,Alecrim,200000.0,casa,1
0,192.0,3,4,venda,não informado,3,Capim Macio,450000.0,casa,1
0,253.0,6,5,venda,não informado,5,PARNAMIRIM,580000.0,casa,5
0,300.0,5,5,venda,0,4,Capim Macio,600000.0,casa,3
0,51.0,1,2,venda,0,0,Cidade Alta,80000.0,casa,0
0,180.0,3,3,venda,0,1,Tirol,335000.0,casa,1
0,500.0,5,2,venda,não informado,10,Capim Macio,900000.0,casa,4
0,62.0,0,2,venda,não informado,3,Pajuçara,100000.0,casa,0
0,110.0,1,3,venda,0,1,Petrópolis,250000.0,casa,0
0,300.0,4,4,venda,0,5,Lagoa Nova,700000.0,casa,1
0,500.0,6,5,venda,0,2,Neópolis,450000.0,casa,5
0,150.0,1,3,venda,não informado,1,Cidade Alta,260000.0,casa,0
0,77.0,1,3,venda,não informado,0,Tirol,270000.0,casa,0
0,250.0,3,4,venda,0,3,Cidade da Esperança,450000.0,casa,2
0,166.0,1,3,venda,não informado,2,Nova Descoberta,395000.0,casa,1
0,260.0,4,4,venda,0,4,Capim Macio,550000.0,casa,4
0,242.0,4,5,venda,não informado,4,Capim Macio,520000.0,casa,3
0,160.0,4,3,venda,0,8,Redinha,290000.0,casa,3
0,300.0,5,4,venda,não informado,4,Capim Macio,680000.0,casa,3
0,800.0,5,6,venda,0,10,Capim Macio,1500000.0,casa,4
0,170.0,3,3,venda,0,0,Potengi,250000.0,casa,1
0,210.0,5,3,venda,não informado,3,Capim Macio,600000.0,casa,3
0,390.0,5,3,venda,0,7,Candelária,890000.0,casa,1
0,300.0,3,4,venda,0,4,Lagoa Nova,290000.0,casa,1
0,240.0,1,3,venda,não informado,2,Neópolis,280000.0,casa,1
0,230.0,4,4,venda,0,4,Capim Macio,480000.0,casa,2
0,406.0,5,4,venda,0,6,Lagoa Nova,890000.0,casa,3
0,150.0,3,3,venda,não informado,4,Candelária,600000.0,casa,2
0,540.0,3,3,venda,0,4,Ponta Negra,1900000.0,casa,2
0,90.0,1,2,venda,0,1,Pitimbu,150000.0,casa,0
0,250.0,2,1,venda,0,5,Lagoa Nova,540000.0,casa,1
0,195.0,4,4,venda,não informado,3,Pitimbu,350000.0,casa,3
0,539.0,5,4,venda,0,4,Candelária,900000.0,casa,4
0,268.0,4,3,venda,não informado,4,Capim Macio,550000.0,casa,3
0,125.0,2,3,venda,não informado,4,Neópolis,270000.0,casa,1
0,300.0,4,4,venda,não informado,2,Tirol,570000.0,casa,2
0,300.0,3,3,venda,0,0,Redinha,250000.0,casa,2
0,298.0,3,4,venda,não informado,4,Lagoa Seca,650000.0,casa,2
0,135.0,3,3,venda,não informado,1,Barro Vermelho,400000.0,casa,1
0,191.0,3,3,venda,0,3,Capim Macio,595000.0,casa,0
0,225.0,4,4,venda,0,4,Nova Descoberta,540000.0,casa,1
0,162.0,4,3,venda,0,2,Barro Vermelho,400000.0,casa,3
0,140.0,3,3,venda,0,3,Potengi,180000.0,casa,2
0,600.0,4,3,venda,não informado,15,Capim Macio,1000000.0,casa,3
0,217.0,3,3,venda,não informado,1,Pitimbu,250000.0,casa,2
